year,AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,DE,EL,HU,IS,IE,IT,LV,LI,LT,LU,MT,NL,NO,PL,PT,RO,SK,SI,ES,SE,CH,UK
2030,0.43071635184731144,0.3274987126332835,2.1676362687329767,0.9920626716287809,0.8109122613519119,1.0971942116225186,0.48848147322609564,1.4079807891138565,0.5777787325599756,0.4791268760498323,0.5005426303566757,0.9193189545009817,0.7334028142027013,0.38530180108598866,0.3351954136546006,0.5926242259253098,2.3353966864047977,0.3503271254783846,2.9002564055872524,0.12201774788201857,0.7640123388008354,0.35525813879714185,0.45419926217946704,1.2288391011660067,0.6418810757425247,0.8618457922418182,0.9570511956676101,0.5638180932203114,0.5714254835484825,0.4594991966122573,0.41572263844578017,0.3502669178504743
2031,0.3799786989386142,0.27881876787511956,2.359184198942243,0.9718422222438629,0.7522101585400216,1.0913350829970812,0.4356910438951836,1.4735931550525678,0.5280435526989138,0.429936996956871,0.44999814436746827,0.9124047576191996,0.6949866675010219,0.33238057320087755,0.28398155218038185,0.5502087982150078,2.491258413691172,0.2967060508804829,3.0774060928212044,0.09027425701084053,0.7235856964309662,0.3016854066292587,0.3895790141923932,1.2233634352702634,0.6015930885991957,0.8274053073308123,0.9315163249940464,0.5158804273278967,0.5263428872032431,0.41142777970521666,0.36351216749968707,0.29676699490838904
2032,0.33247997950919406,0.23554062354307184,2.5363481213029124,0.9466196555703106,0.6933566143362728,1.0780483419409816,0.38531807808025564,1.5328006611112444,0.47780222305893383,0.38303205943551466,0.4021507123421849,0.9049216871194337,0.6527392259423149,0.28260715204201386,0.23629646732117845,0.5084919138835371,2.6065392939709087,0.2481785360681859,3.194253200773311,0.06570176715477777,0.6811918211664316,0.2514225301373985,0.3273468770899483,1.2070640256573324,0.5608045335463467,0.7896624277072887,0.8997958439326155,0.4684942881154063,0.482134747773134,0.3655220534482391,0.3148840870575154,0.2479665460451643
2033,0.28845278663203017,0.19742629639081702,2.6889820983793875,0.9166763090677494,0.6364122669972212,1.0569565787703608,0.337752473672325,1.5820729444499955,0.4277310176617641,0.33869470925526435,0.3572056820203347,0.896668123830853,0.607272991653441,0.23596722032208342,0.192815636102091,0.4677239935157214,2.671275037921747,0.20488201596570818,3.2407434431385176,0.047032032060290385,0.6377501367322815,0.20508168250079123,0.2690193073143203,1.179371601270205,0.5197521335061821,0.7491293396737717,0.8620379559802493,0.42164909459340144,0.4390941261349123,0.32214508646234735,0.27010059716902357,0.2041649921455165
2034,0.24805614822857627,0.16417368259663256,2.8076071095657342,0.8823607580649664,0.582777920780572,1.0279398277288174,0.293320555953001,1.6182000462871593,0.37854525471171374,0.29715713785412773,0.3153135756959418,0.8874636359991294,0.55955474967809,0.19262979330411914,0.15421669562613216,0.42813847795510784,2.6794941294924457,0.16681337957626408,3.212201166468697,0.033109335226443416,0.5941149901795756,0.16325242133399673,0.2158480040893706,1.1400755890527032,0.47864279760867223,0.7062419355342892,0.8186155734494135,0.37535713441879265,0.3974845891019863,0.28158867661872117,0.2293344050872972,0.1655304277119839
2035,0.2113741668954828,0.13543332094203625,2.8843350541485195,0.8440673533992615,0.5331839384708184,0.9911590456528813,0.2522756647938017,1.6385860377031054,0.3309563824768485,0.25859667533348796,0.2765705776547231,0.8772196876193642,0.5107674151787852,0.15300741142782018,0.12095141917035811,0.3899501697632029,2.6299711875268863,0.13383783046104555,3.109954290102882,0.022918611962261644,0.5510323218540496,0.12643068217693582,0.16875179618183003,1.0894859190763466,0.4376842039600907,0.6613928027909104,0.7701507447684931,0.3297502622190112,0.35753886754279013,0.24406860192729718,0.1926657752821299,0.13207383393291927
2036,0.17841767264128144,0.11082432566003202,2.913631357318292,0.8022175404516597,0.48776470112196707,0.9470673668894338,0.21479207704086015,1.6414925052565457,0.2856288949237192,0.22313355012611133,0.24101937948075733,0.8657384740467473,0.46214318097621127,0.11767695158164264,0.09308376789007136,0.3533466071190853,2.526281344230073,0.10570718808922636,2.941181591784461,0.015597414957014064,0.5091101405001839,0.0949418524450012,0.12827162870694894,1.0285426706171517,0.3971140930539976,0.6149737635090016,0.7175102540979514,0.2851463953628331,0.31945882877920456,0.20972539386635924,0.16008432078054538,0.1036432962177681
2037,0.14912865966566993,0.08994904967230055,2.892913364958887,0.757246400433489,0.44619187651216985,0.8964038150316017,0.1809625185768944,1.6261939206743148,0.243143507421131,0.19083074152387527,0.20865369363017153,0.8530172348407334,0.4148033806719236,0.08720804914898649,0.07027413554153135,0.3184845704204685,2.3761750056154956,0.08208445721449953,2.718002816731972,0.010435002958687488,0.46879584455867934,0.06888057146914908,0.09455616198986838,0.9588329034921255,0.35721705902290657,0.5674161046861127,0.6617668205617293,0.24206790193571734,0.2834157988850882,0.1786247682150705,0.13149522410482398,0.0799394106198036
2038,0.12338707269374553,0.07240598564410307,2.8228067560573336,0.7095959791395808,0.4078378479722497,0.840167011372297,0.15079929030348024,1.5930303362624096,0.2039708259953473,0.1616957570535762,0.1794225024638101,0.8392732973845054,0.3696356692280238,0.06197770762093415,0.05191594018514661,0.2855110008312922,2.190424981270851,0.06257079539179988,2.4559616578540973,0.006862159708400784,0.43036760575333943,0.04808520861323876,0.06738894670261221,0.8824993569787363,0.31832233448618263,0.5192180509073663,0.604129451764928,0.2012061584495497,0.24955228299318982,0.1507622763718105,0.1067291992918638,0.06054782332299398
2039,0.10101949913590856,0.05780066423997804,2.707117127137106,0.6597170913279753,0.3719430294754356,0.7795617747265267,0.12423883215158567,1.5433741163439374,0.1684566877806973,0.1356840230762704,0.1532316920544779,0.8242563920497195,0.3272283416546161,0.042040124267481896,0.037331620475795184,0.2545160890473695,1.981387280832428,0.04673130091183117,2.172155771885764,0.004435199845548467,0.3940125228986576,0.03215242434445768,0.046255342543790844,0.8020545081627954,0.28078337656036356,0.47095386034058473,0.5458543498410346,0.16333779723744607,0.21798121994352468,0.12607092906378006,0.08555522932723593,0.04498117818668267
