year,opex_specific_variable
2025,1.0
2026,0.9939530980284216
2027,0.9879061960568434
2028,0.9818592940852648
2029,0.9758123921136864
2030,0.969765490142108
2031,0.969765490142108
2032,0.969765490142108
2033,0.969765490142108
2034,0.969765490142108
2035,0.969765490142108
2036,0.969765490142108
2037,0.969765490142108
2038,0.969765490142108
2039,0.969765490142108
2040,0.969765490142108
2041,0.969765490142108
2042,0.969765490142108
2043,0.969765490142108
2044,0.969765490142108
2045,0.969765490142108
2046,0.969765490142108
2047,0.969765490142108
2048,0.969765490142108
2049,0.969765490142108
2050,0.969765490142108
