node,total_energy_demand
AT,0.0019890697070073624
BE,0.0029288583952022922
BG,0.0005726824750282926
HR,0.0009850437705205917
CY,0.0002438551016514267
CZ,0.0006277120253970757
DK,0.0019533904451895564
EE,0.00033061960156324213
FI,0.0016601048333806407
FR,0.012824347170235702
DE,0.06517016083854613
EL,0.0012246592610158627
HU,0.0006150641207724446
IS,3.3234102148306283e-06
IE,0.0015777167807711036
IT,0.0005468183711171247
LV,0.00033525126666349994
LI,1.3759508161942865e-05
LT,0.0008080544237658363
LU,0.00029281336614121197
MT,8.499007603186368e-05
NL,0.0026121845174285844
NO,2.9671422564585137e-05
PL,0.001957236900438197
PT,0.0020933521362339193
RO,0.0006377960724901966
SK,0.0003237363904222977
SI,3.558977405588886e-05
ES,0.00040331428724669284
SE,6.76297947151966e-05
CH,0.0017186531504807694
UK,0.012542353868164487
