node,year,capacity_lower_limit
AL,2025,0.0
AT,2025,0.0
BE,2025,0.0
DE,2025,0.0
DK,2025,0.0
EE,2025,0.0
EL,2025,0.0
ES,2025,0.0
FI,2025,0.0
FR,2025,0.0
HR,2025,0.0
HU,2025,0.0
IE,2025,0.0
IT,2025,0.0
LT,2025,0.0
MD,2025,0.0
NL,2025,0.0
PL,2025,0.0
PT,2025,0.0
RO,2025,0.0
RS,2025,0.0
SE,2025,0.0
UA,2025,0.0
UK,2025,0.0
BA,2025,0.0
BG,2025,0.0
CY,2025,0.0
CZ,2025,0.0
LU,2025,0.0
LV,2025,0.0
ME,2025,0.0
MK,2025,0.0
MT,2025,0.0
NO,2025,0.0
SI,2025,0.0
SK,2025,0.0
AL,2030,0.0
AT,2030,0.08399999999999999
BA,2030,0.0
BE,2030,0.098
BG,2030,0.0
CY,2030,0.19971
CZ,2030,0.0
DE,2030,1.1097372999999997
DK,2030,0.53333
EE,2030,0.5816993
EL,2030,0.2856014
ES,2030,0.0
FI,2030,0.0
FR,2030,0.8784986
HR,2030,0.21209999999999998
HU,2030,0.3465
IE,2030,0.1316
IT,2030,0.010499999999999999
LT,2030,0.0
LU,2030,0.0
LV,2030,0.0
ME,2030,0.0
MK,2030,0.0
MT,2030,0.0
NL,2030,0.0
NO,2030,0.0
PL,2030,0.0
PT,2030,0.0
RO,2030,0.0
RS,2030,0.0
SE,2030,0.0
SI,2030,0.0
SK,2030,0.09329459999999998
UK,2030,0.465122
