technology,year,value
biomass_boiler_DH,2025,0.0
biomass_boiler_DH,2030,inf
biomass_boiler_DH,2035,inf
biomass_boiler_DH,2040,inf
biomass_boiler_DH,2045,inf
biomass_boiler_DH,2050,inf
