technology,year,value
methanol_ICE_ship,2025,0.0
methanol_ICE_ship,2030,inf
methanol_ICE_ship,2035,inf
methanol_ICE_ship,2040,inf
methanol_ICE_ship,2045,inf
methanol_ICE_ship,2050,inf
