year,price_import
2025,0.7358266790964516
2026,0.7358266790964516
2027,0.7358266790964516
2028,0.7358266790964516
2029,0.7358266790964516
2030,0.629262870017107
2031,0.629262870017107
2032,0.629262870017107
2033,0.629262870017107
2034,0.629262870017107
2035,0.5756584807258445
2036,0.5756584807258445
2037,0.5756584807258445
2038,0.5756584807258445
2039,0.5756584807258445
2040,0.5714275044947906
2041,0.5714275044947906
2042,0.5714275044947906
2043,0.5714275044947906
2044,0.5714275044947906
2045,0.5711204539780788
2046,0.5711204539780788
2047,0.5711204539780788
2048,0.5711204539780788
2049,0.5711204539780788
2050,0.5709157536336043
