year,budget_component,annual_net_zero_component,carbon_price_euro_per_ton
2025,61.253336862842055,0.0,61.253336862842055
2030,78.17650447964692,0.0,78.17650447964692
2035,99.77523128807204,0.0,99.77523128807204
2040,127.3412880871395,0.0,127.3412880871395
2045,162.52333813061708,0.0,162.52333813061708
2050,207.42553993205985,380.8759260651112,588.3014659971711
