node,total_energy_demand
AT,0.07895345702856385
BE,0.12092118491492489
BG,0.011462414120262093
CH,0.06488807094400059
CY,0.004335424721070577
CZ,0.0633758358269573
DE,0.3241883032740859
DK,0.06717957738016203
EE,0.005595977438896708
EL,0.02221259855949129
ES,0.184626021183959
FI,0.05759363194190976
FR,0.46707601354873335
HR,0.017044775768973286
HU,0.054248493591053396
IE,0.05212742494423541
IS,0.0141060466922732
IT,0.23477980949617
LI,0.0004905941061659003
LT,0.009827327480932518
LU,0.0151800171984836
LV,0.005937541889074611
MT,0.0032545916819115934
NL,0.19000957151010595
NO,0.1035400615654243
PL,0.162411643329766
PT,0.08059214207513447
RO,0.05180484182225841
SE,0.25890833584262724
SI,0.015758108012020895
SK,0.03304654739136959
UK,0.5130626045109741
