technology,year,value
ammonia_ICE_ship,2025,0.0
ammonia_ICE_ship,2030,inf
ammonia_ICE_ship,2035,inf
ammonia_ICE_ship,2040,inf
ammonia_ICE_ship,2045,inf
ammonia_ICE_ship,2050,inf
