node,total_energy_demand
AT,2.5431733381567803
BE,2.90812680148697
BG,0.20677601711209137
CH,1.9995243508943361
CY,0.07450559408329822
CZ,1.0264661757172389
DE,17.112138613596972
DK,1.7395657123712351
EE,0.0938416028521892
EL,0.3215537213035056
ES,7.661142423607582
FI,0.614276299447416
FR,17.155407711865955
HR,0.25827607136355535
HU,0.9086989364221036
IE,1.4289868945530584
IS,0.09218867584183651
IT,10.118934684859278
LI,0.01378485745465468
LT,0.14218284829668096
LU,0.061414388427630126
LV,0.09831087146212325
MT,0.04142396928519858
NL,1.477282009549379
NO,0.8024161202230761
PL,3.54918387020987
PT,0.9201811138730995
RO,1.6838542226553628
SE,1.8381231878370548
SI,0.5941825322740906
SK,0.55728293119845
UK,14.974902539451293
