year,AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,DE,EL,HU,IS,IE,IT,LV,LI,LT,LU,MT,NL,NO,PL,PT,RO,SK,SI,ES,SE,CH,UK
2030,0.5281962005286907,0.3123591690034389,2.332826698935805,1.2204527291918148,1.393863093620143,1.5463898414785509,0.535164090857003,1.3565184678166422,0.9603256098453452,0.6504289879120434,0.5070774720830955,0.9989421587567078,1.392671617142983,0.889954937786941,0.3631192771023325,0.6863292536350135,2.3397231915455112,0.3797555119621535,3.69624389408487,0.1495148386872738,1.5334964676591023,0.6549793882851533,0.945460872922674,2.658645750242413,1.070381558592141,2.0729105161610204,1.5060391857948636,0.6807279913921205,0.6889355349364845,0.7590292923327898,0.4994611081549404,0.4035848124626311
2031,0.464885510256131,0.2605459629995336,2.668911786923424,1.218764247938689,1.3271789998308767,1.6194476251866845,0.4710336008848916,1.4422643945052274,0.943042308648061,0.5912403479473503,0.4549259611586833,0.9983939493152802,1.362583061245582,0.8447661990688379,0.2758702313972253,0.6414429285098843,2.671388600970012,0.3016120323435268,4.257583144878198,0.1109499328240819,1.5272805170696189,0.5785879592670538,0.9172334249069772,2.849488419234639,1.0436543124350606,2.158313385332085,1.540745169379968,0.6149856537687686,0.6399756435376565,0.7133625009446652,0.4314963427917589,0.3234183891238137
2032,0.4035908009625418,0.2150874065359369,3.0350481282945694,1.2098510899948227,1.2427278423631851,1.680037099678258,0.4087405148337043,1.5347521784354223,0.9205767039335884,0.5307558098534367,0.4052885576813426,0.9976183921256346,1.3124956024440253,0.7881690683914122,0.1984025927462896,0.5960750155902945,3.016903859544179,0.2319635766425874,4.792053473424693,0.0808986509589977,1.5018445248733492,0.4986241104886812,0.8787510062369087,2.989042026900746,1.0128930732141623,2.215867530724388,1.5548456725770543,0.5471135752789735,0.5899073432909945,0.6652987715385158,0.3663893745839704,0.2508535628339426
2033,0.3454029953998489,0.1757329031079464,3.4180895859731466,1.1937219309557316,1.1475606398307223,1.7231308878668956,0.3494607341756127,1.6306416709961242,0.8921345484630553,0.4701539466200265,0.358488771451156,0.9965433192330808,1.2456310755426714,0.7199277369793373,0.1349671111833902,0.5506572263582121,3.354203206831728,0.1725318927180418,5.253613281790735,0.0579575910552284,1.4586684791648472,0.4179950013383668,0.8282124362002379,3.0637980888528062,0.9797987878885156,2.241603202353428,1.5457390158926692,0.4789680238966743,0.5393498720330749,0.6154938273014867,0.3055103490023226,0.1879997107011043
2034,0.2912426849721234,0.1421037614703511,3.8007187012040258,1.1705735129962644,1.0487826164326708,1.7445654854157595,0.2941976536554029,1.72563053588639,0.8570269305455033,0.4106316439726825,0.3147781583104635,0.9950805263068636,1.166260731380404,0.6408771175177217,0.0872970744161275,0.5056166247562524,3.657242344076532,0.1240131097685217,5.597352138436468,0.0407959725688427,1.4002641058266292,0.3398191511943213,0.7643760188477019,3.065516985014356,0.94566123110849,2.233336533544115,1.5126820445291829,0.4122488304116938,0.4889394265334381,0.5646515803340273,0.2499607139543332,0.1359649672701816
2035,0.2418201516013209,0.1137311287829432,4.162453492117926,1.1407622975742595,0.9525608824459052,1.7415153666975167,0.243734659889323,1.8146943039539667,0.8147578388095341,0.3533376792205614,0.2743352536144645,0.9931238302329782,1.0790229653908556,0.5531622057873549,0.0542577807313676,0.461365180231211,3.898968768430482,0.0861234260516498,5.786527886511983,0.0282127306838831,1.3299001586325143,0.2670802310151057,0.6870442863810466,2.99256659817366,0.9111780494940094,2.1908848965124714,1.456873185518061,0.3483969747298215,0.4393068233407148,0.5134992445132669,0.2005150162709578,0.0948238655610217
2036,0.1976120561136505,0.0900909669540161,4.481273596791258,1.1047671319836,0.8634271718902335,1.7128173798116406,0.198606000670556,1.8924621303350135,0.7651217237405105,0.2993081073235761,0.2372667605308351,0.9905472241533,0.9882529067462849,0.4602928084537845,0.0327514053754278,0.4182894185637535,4.055080492911528,0.0578032948688765,5.798910707598901,0.0191679942580251,1.2512621095349752,0.2022737471428309,0.597569378929303,2.850283845120459,0.8764041586772413,2.116077479138572,1.3812416911619498,0.2885939756942453,0.391055432453981,0.4627612730566021,0.1575946576893621,0.0637632916443258
2037,0.1588560723760642,0.070634685543213,4.7357181756907485,1.0631472409622211,0.7839689256528568,1.6590896575009322,0.1590879375441876,1.953695478503105,0.7083011474188027,0.2494095938127061,0.2036108576993967,0.9872032375089502,0.8974608770036022,0.3669120253717045,0.0192176957407175,0.3767414920289829,4.107879292553231,0.0375158062081636,5.630916010319784,0.0127936580859031,1.1680932189823805,0.1471153768409301,0.4992218896646142,2.650243023244779,0.8408220250653252,2.0125580888973853,1.2899835970837523,0.2338047757905478,0.3447405743377941,0.4131335121323522,0.1212750512265329,0.04135738709429
2038,0.1255628065092937,0.0548146031201787,4.907193450439701,1.016500543578645,0.7148988035148801,1.5826245882995873,0.1252097643072089,1.993812847672472,0.6449498777234544,0.2042962379443019,0.1733423364660716,0.9829216397108876,0.8090502910732907,0.2782306231170984,0.0107853935938068,0.3370335104329918,4.049375466594572,0.0235573944009942,5.298458472131635,0.0083884583887474,1.0838631927275049,0.1023761472830546,0.3972073743267945,2.408550672439427,0.8035020981799706,1.8854075123603395,1.1879403928713137,0.1847903201768004,0.300851624476673,0.36525899387715,0.0913230115544622,0.0258914515300766
2039,0.0975425476114146,0.0421039152718956,4.982150670216392,0.965427461566791,0.6554112837502741,1.4870760895686492,0.0967820696004814,2.009387210584473,0.5762430031674083,0.1643840220606115,0.1463792359317599,0.9775086615676032,0.7242998985584737,0.1991869193476378,0.0056111577560896,0.2994280591369423,3.882883145490303,0.0143103508495716,4.834259027098305,0.0054028363547408,1.0015024333685474,0.0678835957041788,0.2981302715906573,2.1435034402056696,0.763314263368635,1.7406386201426682,1.0799487757049953,0.1420660397436555,0.2597974611829258,0.3197067099625791,0.0672572783820237,0.0156534544552609
