node,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AT,1.0,1.0050066124315262,1.0100132248630522,1.0150198372945782,1.0200264497261045,1.0250330621576305,1.0313503951397114,1.037667728121792,1.043985061103873,1.050302394085954,1.0566197270680346,1.0629370600501156,1.0692543930321965,1.0755717260142772,1.081889058996358,1.0882063919784388,1.0954441243408048,1.102681856703171,1.1099195890655371,1.1171573214279034,1.1243950537902696,1.1316327861526356,1.1388705185150017,1.146108250877368,1.153345983239734,1.1605837156021002
BE,1.0,1.0053022432531522,1.0106044865063044,1.0159067297594566,1.0212089730126086,1.0265112162657608,1.0336072326864842,1.0407032491072077,1.047799265527931,1.054895281948654,1.0619912983693776,1.069087314790101,1.0761833312108242,1.0832793476315474,1.0903753640522709,1.0974713804729943,1.1063239103148297,1.1151764401566646,1.1240289699984998,1.132881499840335,1.14173402968217,1.1505865595240052,1.1594390893658404,1.1682916192076755,1.1771441490495107,1.185996678891346
BG,1.0,1.0076936043740468,1.0153872087480935,1.0230808131221405,1.0307744174961877,1.0384680218702345,1.0358872597015942,1.033306497532954,1.030725735364314,1.0281449731956738,1.0255642110270335,1.0229834488583935,1.0204026866897535,1.0178219245211133,1.015241162352473,1.0126604001838329,1.010079742445937,1.0074990847080407,1.0049184269701448,1.0023377692322486,0.9997571114943526,0.9971764537564564,0.9945957960185604,0.9920151382806645,0.9894344805427684,0.9868538228048722
CH,1.0,1.0034216956330215,1.0068433912660435,1.0102650868990652,1.0136867825320868,1.0171084781651083,1.027465748384449,1.0378230186037891,1.0481802888231295,1.0585375590424702,1.0688948292618106,1.0792520994811512,1.0896093697004916,1.099966639919832,1.1103239101391724,1.1206811803585128,1.1327021117441125,1.144723043129712,1.1567439745153116,1.168764905900911,1.1807858372865108,1.1928067686721104,1.20482770005771,1.2168486314433096,1.228869562828909,1.2408904942145087
CZ,1.0,0.99147962683027,0.98295925366054,0.9744388804908098,0.96591850732108,0.9573981341513498,0.9545205630068434,0.9516429918623368,0.9487654207178304,0.9458878495733238,0.9430102784288174,0.9401327072843108,0.9372551361398044,0.9343775649952978,0.9314999938507912,0.9286224227062848,0.9257917453231064,0.922961067939928,0.9201303905567496,0.917299713173571,0.9144690357903926,0.911638358407214,0.9088076810240356,0.9059770036408572,0.9031463262576788,0.9003156488745002
DE,1.0,1.001881679562603,1.0037633591252069,1.0056450386878104,1.007526718250414,1.0094083978130173,1.0117755598366251,1.0141427218602326,1.0165098838838402,1.018877045907448,1.0212442079310555,1.0236113699546632,1.0259785319782708,1.0283456940018787,1.030712856025486,1.0330800180490938,1.0355917178996537,1.0381034177502133,1.040615117600773,1.0431268174513328,1.0456385173018925,1.0481502171524522,1.0506619170030118,1.0531736168535717,1.0556853167041311,1.0581970165546912
DK,1.0,1.0008437176073113,1.0016874352146228,1.002531152821934,1.0033748704292451,1.0042185880365568,1.0039841825800413,1.0037497771235258,1.0035153716670102,1.0032809662104945,1.003046560753979,1.0028121552974636,1.002577749840948,1.0023433443844325,1.002108938927917,1.0018745334714014,1.001673973853574,1.0014734142357464,1.0012728546179193,1.001072295000092,1.0008717353822645,1.0006711757644369,1.0004706161466097,1.000270056528782,1.0000694969109547,0.9998689372931272
EE,1.0,1.0013159990642244,1.002631998128449,1.0039479971926737,1.005263996256898,1.0065799953211223,1.0075180253213774,1.0084560553216322,1.0093940853218877,1.0103321153221425,1.0112701453223971,1.0122081753226522,1.0131462053229072,1.0140842353231625,1.015022265323417,1.0159602953236722,1.0168984485171295,1.0178366017105869,1.0187747549040442,1.0197129080975016,1.0206510612909587,1.021589214484416,1.0225273676778734,1.0234655208713308,1.024403674064788,1.0253418272582453
EL,1.0,1.0024905821450374,1.0049811642900748,1.0074717464351124,1.0099623285801498,1.0124529107251874,1.0178589600176962,1.0232650093102051,1.028671058602714,1.034077107895223,1.039483157187732,1.0448892064802409,1.0502952557727498,1.0557013050652586,1.0611073543577676,1.0665134036502766,1.0721600118475227,1.0778066200447691,1.0834532282420153,1.0890998364392614,1.0947464446365076,1.100393052833754,1.1060396610310002,1.111686269228246,1.1173328774254927,1.1229794856227386
ES,1.0,1.0032574686235238,1.0065149372470477,1.0097724058705717,1.013029874494095,1.016287343117619,1.0200470120609508,1.0238066810042827,1.0275663499476146,1.0313260188909463,1.0350856878342782,1.03884535677761,1.0426050257209418,1.0463646946642735,1.0501243636076056,1.053884032550937,1.0577039350010184,1.0615238374510996,1.0653437399011805,1.0691636423512616,1.0729835448013427,1.0768034472514236,1.0806233497015048,1.0844432521515857,1.0882631546016668,1.092083057051748
FI,1.0,1.0086643661049743,1.017328732209949,1.0259930983149232,1.0346574644198978,1.0433218305248722,1.0550731727469735,1.066824514969075,1.0785758571911763,1.090327199413278,1.102078541635379,1.1138298838574807,1.125581226079582,1.1373325683016835,1.149083910523785,1.1608352527458865,1.17083540971951,1.1808355666931334,1.1908357236667568,1.2008358806403805,1.210836037614004,1.2208361945876274,1.230836351561251,1.2408365085348745,1.250836665508498,1.2608368224821216
FR,1.0,0.9999706354203682,0.9999412708407364,0.9999119062611048,0.9998825416814732,0.9998531771018414,0.9998123943810342,0.9997716116602272,0.99973082893942,0.9996900462186126,0.9996492634978056,0.9996084807769984,0.999567698056191,0.9995269153353836,0.9994861326145766,0.9994453498937694,0.9994047786486588,0.999364207403548,0.9993236361584376,0.9992830649133272,0.9992424936682164,0.9992019224231058,0.9991613511779952,0.9991207799328848,0.999080208687774,0.9990396374426634
HR,1.0,1.0003288664891627,1.0006577329783255,1.0009865994674885,1.0013154659566514,1.0016443324458142,1.0018838986126002,1.0021234647793862,1.002363030946172,1.002602597112958,1.002842163279744,1.00308172944653,1.003321295613316,1.0035608617801015,1.0038004279468875,1.0040399941136735,1.004322824169158,1.0046056542246424,1.004888484280127,1.0051713143356114,1.0054541443910956,1.0057369744465805,1.0060198045020647,1.006302634557549,1.0065854646130334,1.006868294668518
HU,1.0,0.998393142375338,0.996786284750676,0.995179427126014,0.993572569501352,0.99196571187669,0.9937976188648062,0.9956295258529224,0.9974614328410384,0.9992933398291544,1.0011252468172709,1.0029571538053867,1.0047890607935028,1.006620967781619,1.008452874769735,1.0102847817578513,1.012134324786527,1.0139838678152029,1.015833410843879,1.0176829538725547,1.0195324969012305,1.0213820399299065,1.0232315829585823,1.025081125987258,1.026930669015934,1.0287802120446097
IE,1.0,1.0008209776561587,1.0016419553123177,1.0024629329684762,1.003283910624635,1.0041048882807937,1.0040872564871697,1.0040696246935457,1.0040519928999216,1.0040343611062978,1.0040167293126736,1.0039990975190496,1.0039814657254256,1.0039638339318016,1.0039462021381775,1.0039285703445535,1.0039119174873623,1.0038952646301706,1.0038786117729794,1.003861958915788,1.0038453060585966,1.0038286532014054,1.003812000344214,1.0037953474870227,1.003778694629831,1.0037620417726398
IT,1.0,0.999251325591962,0.998502651183924,0.9977539767758864,0.9970053023678483,0.9962566279598104,0.9948559059183728,0.9934551838769348,0.9920544618354972,0.9906537397940596,0.9892530177526218,0.9878522957111842,0.9864515736697465,0.9850508516283089,0.9836501295868708,0.9822494075454332,0.9808578699203876,0.979466332295342,0.978074794670296,0.9766832570452504,0.9752917194202048,0.9739001817951588,0.9725086441701132,0.9711171065450674,0.9697255689200216,0.968334031294976
LT,1.0,1.0119696950593156,1.023939390118631,1.0359090851779469,1.0478787802372629,1.0598484752965782,1.0694946506513785,1.079140826006178,1.0887870013609782,1.0984331767157782,1.108079352070578,1.117725527425378,1.127371702780178,1.137017878134978,1.146664053489778,1.156310228844578,1.1659565302845447,1.1756028317245115,1.1852491331644783,1.194895434604445,1.2045417360444115,1.2141880374843788,1.2238343389243451,1.2334806403643122,1.2431269418042787,1.2527732432442458
