time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.0016550795604617,0.0026704160449094,9.65574851138145e-05,0.0014187620736082,4.1073216982093295e-05,0.000211223432083,0.0181972054005547,0.0016085543787528,6.681148620126514e-05,0.0002671697807772,0.0013362156695269,0.0009560975016846,0.0103720267781254,0.0001923621607588,0.0001903524955585,0.0012585567193025,0.0006547674124392,0.0017926061299827,1.1290060254819175e-05,0.0001014235604999,0.0009782813534657,5.675576742161321e-05,4.590796709145132e-05,0.007867009594222,0.0055150708526963,0.0005582646680215,0.0011833232111492,0.0001776974913466,0.0115190982444639,0.0001181184535197,0.0001079589329466,0.0104160883260975
1,0.0039397493958529,0.006356655142713,0.0002298453214757,0.0033772195342668,9.777063632264102e-05,0.0005027960037806,0.0433166058573326,0.0038290009092495,0.0001590379814273,0.0006359706249492,0.0031807261732356,0.0022758933435126,0.0246895600725627,0.000457898656197,0.0004531148515703,0.0029958669014894,0.001558607561356,0.0042671174765953,2.687484585675062e-05,0.0002414285214743,0.0023286997576211,0.000135101360534,0.0001092792696702,0.0187266201797327,0.0131280680270954,0.0013288925445677,0.0028167811491329,0.0004229908947592,0.0274200476119331,0.0002811690247469,0.0002569853141893,0.024794444128381
2,0.0009993753879367,0.0016124590832898,5.830364681495535e-05,0.0008566814137361,2.480096010842955e-05,0.0001275416024837,0.0109878942625997,0.0009712824052005,4.0342323436337264e-05,0.0001613233041406,0.0008068379822949,0.0005773138249528,0.0062628700956148,0.0001161527298295,0.0001149392474162,0.0007599457087383,0.0003953637350413,0.0010824171171985,6.817199980308577e-06,6.12418958833844e-05,0.0005907089486733,3.4270447439274246e-05,2.7720294248939883e-05,0.0047502826770056,0.0033301275688367,0.0003370931419271,0.0007145179733032,0.0001072978626479,0.0069554984254236,7.132265912091009e-05,6.518810519581742e-05,0.0062894754792167
3,0.0009993753879367,0.0016124590832898,5.830364681495535e-05,0.0008566814137361,2.480096010842955e-05,0.0001275416024837,0.0109878942625997,0.0009712824052005,4.0342323436337264e-05,0.0001613233041406,0.0008068379822949,0.0005773138249528,0.0062628700956148,0.0001161527298295,0.0001149392474162,0.0007599457087383,0.0003953637350413,0.0010824171171985,6.817199980308577e-06,6.12418958833844e-05,0.0005907089486733,3.4270447439274246e-05,2.7720294248939883e-05,0.0047502826770056,0.0033301275688367,0.0003370931419271,0.0007145179733032,0.0001072978626479,0.0069554984254236,7.132265912091009e-05,6.518810519581742e-05,0.0062894754792167
4,0.0042751425218338,0.0068978008413052,0.0002494121855364,0.0036647241704535,0.0001060939066758,0.0005455993159954,0.0470041733611607,0.0041549659530385,0.0001725769760133,0.0006901111690554,0.0034515032168856,0.0024696414493397,0.0267913964839209,0.0004968798314581,0.0004916887787994,0.003250906769297,0.0016912927170999,0.0046303796350742,2.9162716900436465e-05,0.0002619814699952,0.002526943303772,0.0001466026168529,0.0001185822765818,0.0203208280975635,0.0142456679887407,0.0014420219291637,0.0030565753441155,0.0004590003522653,0.0297543319937753,0.0003051051051072,0.0002788626213977,0.0269052093795745
5,0.0204680382302582,0.0330245016636263,0.0011941071256875,0.0175455470878706,0.0005079442677635,0.0026121579809712,0.2250412032872351,0.0198926706040513,0.0008262443005497,0.0033040352968856,0.0165247122018215,0.0118238667698106,0.1282687827772509,0.0023789044070903,0.0023540512790996,0.0155643194810811,0.0080973777635161,0.0221688018369625,0.0001396219193553,0.0012542849077187,0.0120982100323321,0.0007018872355895,0.0005677346563564,0.0972897357800872,0.0682037792938967,0.0069039476050808,0.0146339217178156,0.0021975493705503,0.1424543864102906,0.0014607473139641,0.0013351065529648,0.1288136831372826
6,0.0497371631239071,0.0802492651152726,0.0029016704106962,0.0426355338890047,0.0012343003574354,0.006347522226772,0.5468482573454893,0.0483390245647089,0.0020077667969121,0.0080287783655499,0.0401549135833937,0.0287318981755682,0.3116920782015098,0.0057807179770027,0.0057203250821339,0.0378211672381349,0.0196765608002686,0.053870004580926,0.0003392801059158,0.0030479019218773,0.0293985500279087,0.0017055801605596,0.0013795905057745,0.2364132509593705,0.1657346179563349,0.0167765354143801,0.0355603083907423,0.0053400267424906,0.3461629773648971,0.0035496038565161,0.0032442978494364,0.3130161815566183
7,0.1469922599849455,0.2371671422440855,0.0085755411971752,0.126004240861038,0.0036478276532915,0.0187593457048099,1.6161448737192885,0.1428602280458369,0.005933715565273,0.0237280979200672,0.1186730630860228,0.0849137019729631,0.9211688024929148,0.0170842232730156,0.0169057392673702,0.1117759538024354,0.0581517312026273,0.1592063805292408,0.0010027019315972,0.0090077110066187,0.0868839120984292,0.0050406389636975,0.0040772153770084,0.6986911972106878,0.4898089179403414,0.0495810516802852,0.1050942548350598,0.0157818128328563,1.023043438147475,0.0104904313022588,0.0095881357721372,0.9250820322068044
8,0.1671867499403343,0.2697502828277257,0.0097536894927802,0.1433152977606683,0.0041489834210233,0.0213365930948714,1.838178478904486,0.162487039964993,0.0067489173955823,0.0269879759242312,0.134976928205937,0.0965795468395126,1.0477233172072675,0.0194313344428002,0.0192283294626518,0.1271322615192395,0.0661408903037949,0.1810789039720455,0.0011404578521332,0.0102452328289434,0.0988204337243728,0.0057331457183495,0.0046373624554014,0.7946806892113885,0.5571011772363013,0.0563927304056663,0.1195325992339625,0.0179499927136445,1.1635939707926055,0.0119316562319447,0.0109053990862815,1.0521741648757237
9,0.1313978248367012,0.2120060377111081,0.0076657604980136,0.1126364284149102,0.0032608289652174,0.0167691633642763,1.4446877750532492,0.1277041609049388,0.0053042066198342,0.0212107797684613,0.1060830166010717,0.0759051921456407,0.8234418395049805,0.0152717549708312,0.0151122063652627,0.0999176228747815,0.0519824036401394,0.1423161471482164,0.0008963251043621,0.0080520813350888,0.0776663823265659,0.0045058766746277,0.0036446628685383,0.6245669231525359,0.4378450022441364,0.0443209890410065,0.0939447865457346,0.0141075174871768,0.914508576844835,0.0093774995694115,0.0085709287334369,0.8269399139787255
