node,availability_import
AT,0.83989200913242
BE,0.006047488584474885
BG,17.716896862962365
CZ,0.21591335616438356
DE,58.46925934603418
DK,1.5811340182648401
EE,11.659424744590117
EL,16.605158085877132
ES,11.096146103926129
FI,6.695015080190696
FR,0.02067568493150685
HR,0.9360644977168949
HU,23.037210374006374
IE,2.1924649543378996
IT,28.698500526464237
LT,9.86086044785204
NL,22.91589577625571
NO,141.63459256523223
PL,14.219086758275964
RO,47.43107635111019
SI,0.006144634703196347
SK,61.096753429113875
UK,50.19200913242009
