year,demand_yearly_variation
2025,1.0
2026,1.065
2027,1.13
2028,1.195
2029,1.26
2030,1.3250000000000002
2031,1.39
2032,1.455
2033,1.52
2034,1.5850000000000002
2035,1.65
2036,1.7150000000000003
2037,1.7800000000000002
2038,1.845
2039,1.91
2040,1.975
2041,2.04
2042,2.1050000000000004
2043,2.1700000000000004
2044,2.2350000000000003
2045,2.3000000000000003
2046,2.365
2047,2.4300000000000006
2048,2.495
2049,2.5600000000000005
2050,2.6250000000000004
