year,opex_specific_variable
2025,1.0
2026,0.9939530980284217
2027,0.9879061960568434
2028,0.9818592940852648
2029,0.9758123921136864
2030,0.9697654901421081
2031,0.9697654901421081
2032,0.9697654901421081
2033,0.9697654901421081
2034,0.9697654901421081
2035,0.9697654901421081
2036,0.9697654901421081
2037,0.9697654901421081
2038,0.9697654901421081
2039,0.9697654901421081
2040,0.9697654901421081
2041,0.9697654901421081
2042,0.9697654901421081
2043,0.9697654901421081
2044,0.9697654901421081
2045,0.9697654901421081
2046,0.9697654901421081
2047,0.9697654901421081
2048,0.9697654901421081
2049,0.9697654901421081
2050,0.9697654901421081
