year,price_import
2025,0.9988426645957846
2026,0.9988426645957846
2027,0.9988426645957846
2028,0.9988426645957846
2029,0.9988426645957846
2030,0.9918809805800632
2031,0.9918809805800632
2032,0.9918809805800632
2033,0.9918809805800632
2034,0.9918809805800632
2035,0.9918680294977692
2036,0.9918680294977692
2037,0.9918680294977692
2038,0.9918680294977692
2039,0.9918680294977692
2040,0.9918679998634604
2041,0.9918679998634604
2042,0.9918679998634604
2043,0.9918679998634604
2044,0.9918679998634604
2045,0.9918680534039992
2046,0.9918680534039992
2047,0.9918680534039992
2048,0.9918680534039992
2049,0.9918680534039992
2050,0.9918680541207668
