technology,year,value
hydrogen_FC_ship,2025,0.0
hydrogen_FC_ship,2030,inf
hydrogen_FC_ship,2035,inf
hydrogen_FC_ship,2040,inf
hydrogen_FC_ship,2045,inf
hydrogen_FC_ship,2050,inf
