edge,opex_specific_fixed
BE-NO,0.0
BE-UK,0.0
DE-NO,0.0
DE-SE,0.0
DE-UK,0.0
DK-NL,0.0
DK-NO,0.0
DK-SE,0.0
DK-UK,0.0
EE-FI,0.0
EL-IT,0.0
FI-EE,0.0
FR-NO,0.0
FR-UK,0.0
IT-EL,0.0
LT-SE,0.0
NL-DK,0.0
NL-NO,0.0
NL-UK,0.0
NO-BE,0.0
NO-DE,0.0
NO-DK,0.0
NO-FR,0.0
NO-NL,0.0
NO-UK,0.0
PL-SE,0.0
SE-DE,0.0
SE-DK,0.0
SE-LT,0.0
SE-PL,0.0
UK-BE,0.0
UK-DE,0.0
UK-DK,0.0
UK-FR,0.0
UK-NL,0.0
UK-NO,0.0
