node,total_energy_demand
AT,0.0071731778862085
BE,0.0123331691659258
BG,0.0186548524818884
HR,0.0295767072605059
CY,0.0082935498391569
CZ,0.1389201802073523
DK,0.0069414261553475
EE,0.0099846784377493
FI,0.0
FR,0.0441253551917851
DE,0.072122663386055
EL,0.0332644016446459
HU,0.1418034009480253
IS,0.0
IE,0.0050496683686951
IT,1.0649460693963946
LV,0.0097023312113529
LI,4.750081763285386e-05
LT,0.015518531525285
LU,0.0017603611450954
MT,0.0
NL,0.0304395688560032
NO,0.0
PL,0.480390435822346
PT,0.0
RO,0.2372127038742192
SK,0.0773549457384897
SI,0.0691276821646221
ES,0.7735243089855326
SE,0.0
CH,0.006052275776653
UK,0.0447267332658779
