time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.0140696786521949,0.0212844983224017,0.0013409893032818,0.0121428173187276,0.0006025817768414,0.0032706381685458,0.1207464187624202,0.013804100931586,0.0008386837574857,0.003220725960163,0.0269172550412885,0.0074982647603463,0.0900487979060392,0.0025109788765934,0.0030833447581688,0.0111436395071993,0.0022168518812433,0.0362668648846381,9.717703370138398e-05,0.0016960983790085,0.0032176304567667,0.0007819054087734,0.0004094962339053,0.0340659497616535,0.0197782468512174,0.0127504665347509,0.009566177306327,0.0030461478466203,0.0373568121336913,0.0023940419950444,0.0016804045595415,0.0885337636003214
1,0.0376140091907222,0.0569021749046012,0.0035850132206419,0.0324627202595439,0.0016109477019746,0.0087437543651374,0.3228045940031426,0.0369040112532586,0.0022421449232785,0.0086103186050713,0.0719608388748873,0.0200459304424935,0.2407372901528809,0.0067128741797639,0.0082430424275423,0.0297915090460507,0.0059265523468476,0.0969561724053056,0.0002597939817339,0.004534365111917,0.008602043057628,0.0020903531600766,0.0010947510235622,0.0910722255355577,0.0528753482739995,0.0340872153003507,0.0255743069913065,0.0081435998597737,0.0998700474735818,0.0064002540378226,0.0044924091096328,0.2366869834111104
2,0.0313696257253629,0.0474557211028906,0.0029898573795147,0.0270735134722152,0.0013435107706238,0.0072921846878403,0.269215101345911,0.0307774960895381,0.0018699215685473,0.007180900888487,0.0600144635192241,0.0167180619356255,0.2007719690805171,0.0055984553386186,0.0068745970279092,0.0248457558413871,0.0049426725032076,0.0808602673726256,0.0002166650178494,0.003781605298753,0.0071739991826717,0.0017433290860578,0.0009130090253733,0.0759531273186098,0.0440973967184201,0.0284283225584901,0.0213286606709476,0.0067916631370747,0.0832904037039805,0.0053377339462994,0.0037466145036502,0.1973940625691954
3,0.0307875759399701,0.0465752008019657,0.0029343818739624,0.0265711761844104,0.0013185825115951,0.0071568813670496,0.2642199320271966,0.0302064330124495,0.0018352259857182,0.0070476623902765,0.0589009212054697,0.0164078655549926,0.1970467323646158,0.0054945784305259,0.006747041864842,0.0243847536291832,0.0048509633609008,0.0793599402191209,0.0002126448925139,0.0037114392543173,0.0070408887426161,0.0017109823717778,0.0008960685393142,0.0745438500182445,0.0432791886683449,0.0279008473763152,0.0209329166325925,0.006665646776344,0.0817449864259546,0.0052386946104423,0.0036770976982254,0.1937315014420054
4,0.0339252873257731,0.0513219057110282,0.0032334389817443,0.029279173793919,0.001452965659129,0.0078862739050012,0.2911478685004778,0.0332849173001525,0.0020222627788109,0.0077659238918765,0.0649038001414744,0.0180800708195126,0.2171287218294979,0.0060545576031397,0.0074346656687128,0.0268699222975926,0.0053453485960128,0.0874478971432939,0.0002343165662331,0.0040896900535583,0.0077584599088863,0.001885356894777,0.0009873912359678,0.0821409758004072,0.047689980973584,0.0307443582346209,0.0230662918286202,0.0073449752114458,0.09007601499219,0.0057725954202358,0.0040518485827032,0.2134756196229409
5,0.0182533279427233,0.0276134898016688,0.0017397353646501,0.0157535102361941,0.00078176076774,0.0042431694815675,0.1566506267885526,0.0179087801141345,0.001088068181517,0.0041784157703791,0.0349211588787717,0.0097278899579284,0.1168250021666647,0.0032576238608378,0.0040001839716896,0.0144572247475364,0.002876037569093,0.047050895372828,0.0001260728342488,0.0022004368898883,0.004174399812372,0.0010144066683643,0.000531260822195,0.044195533391432,0.0256593512070785,0.0165418452570854,0.0124107007592092,0.0039519264782715,0.0484649407870161,0.0031059155453689,0.0021800764793568,0.1148594691427509
6,0.0248655072611131,0.0376163422540049,0.0023699460436949,0.0214601427419302,0.0010649498057389,0.0057802370003499,0.2133965548688619,0.0243961486564545,0.0014822155912059,0.0056920265720493,0.0475711789319352,0.0132517708082163,0.1591442913188226,0.0044376822692177,0.0054492311706637,0.0196942841362098,0.0039178681981674,0.0640948535086902,0.0001717421056193,0.0029975344569948,0.0056865558527756,0.0013818705529799,0.0007237074725927,0.0602051505293596,0.0349543264525314,0.0225340482920673,0.0169064167812008,0.0053834926348332,0.066021130000537,0.0042310183539196,0.0029697985867196,0.1564667535113912
7,0.0387509518774413,0.0586221327875315,0.003693375893239,0.0334439571227283,0.0016596411342317,0.0090080481161573,0.3325618714188594,0.0380194931337528,0.0023099172859682,0.008870579050022,0.0741359686004671,0.0206518502714463,0.2480139540169234,0.006915781377634,0.0084922013714025,0.030692004341952,0.0061056917285084,0.0998868254656998,0.0002676466641238,0.0046714234410829,0.0088620533611195,0.0021535373775834,0.0011278415979731,0.0938250270319593,0.0544735889779625,0.0351175550854516,0.026347330711119,0.0083897529953565,0.1028887769985744,0.0065937117993855,0.00462819925253,0.2438412203728337
8,0.1372874826264792,0.2076874153194814,0.0130849502840547,0.1184857780260146,0.0058798027491725,0.0319138547397946,1.17820543580569,0.1346960590690986,0.0081836113411856,0.0314268271671968,0.2626500771754946,0.0731657004017072,0.8786677424314929,0.0245013391860233,0.0300863047680565,0.1087361163719054,0.0216313408184486,0.3538806184453887,0.0009482228170072,0.0165499925404914,0.0313966222222762,0.0076295861388264,0.0039957349764431,0.332404783482949,0.192989888972704,0.1244150272469823,0.0933437382053723,0.0297233490478714,0.3645159796158319,0.0233603060117121,0.0163968572045194,0.8638845159579936
9,0.2197670501586996,0.3324618511946102,0.0209461261171476,0.1896696583284382,0.0094122703758531,0.0510870589304924,1.8860476436328844,0.2156187512750587,0.0131001609883898,0.050307434955108,0.4204449785262521,0.1171221865421332,1.4065537085354702,0.0392212526214066,0.0481615535703335,0.1740625953917643,0.0346270167658463,0.5664850002069985,0.0015178960776331,0.0264928963019006,0.0502590834847597,0.0122132885503007,0.0063962924528086,0.5321069140982208,0.3089343456415435,0.1991610816251498,0.1494227849744547,0.0475805413291787,0.5835098731749139,0.0373947095888283,0.0262477603257883,1.38288901593747
10,0.3321120615304827,0.5024164937407554,0.0316537948742541,0.2866288699409306,0.0142238270748484,0.0772027856163289,2.850196017188661,0.3258431504580735,0.0197969689682488,0.0760246175265424,0.6353766339296955,0.1769950991077897,2.125584574474341,0.0592711739748833,0.0727817606470297,0.2630434696609899,0.0523283627570707,0.8560723780429497,0.0022938452109529,0.0400360763835334,0.0759515487635781,0.0184567269551005,0.0096660799292712,0.8041201994028221,0.4668617171431882,0.3009723129441153,0.2258077774700828,0.0719037346961648,0.8818003734571208,0.0565109013517324,0.0396656267900973,2.089822480754961
