node,year_construction,capacity_existing
AT,2006,0.2184114353117405
AT,2007,0.3316268456208257
AT,2008,0.3329958323866679
AT,2009,0.2048245726346879
AT,2010,0.2987675663915475
AT,2011,0.2806415622920918
AT,2012,0.181396814012459
AT,2014,0.1376266095343051
AT,2015,0.023238125775575
AT,2016,0.0206070848819332
AT,2017,0.1436351288369903
AT,2018,0.1673898611317523
AT,2019,0.0338123313541112
AT,2020,0.2394988425299102
AT,2022,0.1294457400319066
AT,2024,0.1211446058366051
BE,2007,0.0004624015919395
BE,2008,0.0012736484021972
BE,2010,0.0005420596878437
BE,2012,0.0004402867914854
BE,2014,0.0044075902603072
BE,2015,0.0019459771778981
BE,2018,0.0007384447637666
BE,2019,0.0047205068958959
BE,2020,0.0090071130915783
BG,2016,0.0033427416221804
BG,2017,0.0001304730877975
BG,2018,0.2732237878515313
BG,2019,0.0986808516480285
CH,2006,0.2959285916763771
CH,2007,0.449325674026991
CH,2008,0.4511805326110254
CH,2009,0.2775195686708665
CH,2010,0.4048041945909807
CH,2011,0.3802450278137647
CH,2012,0.2457769833739244
CH,2014,0.1864721445493482
CH,2015,0.0314856492021544
CH,2016,0.0279208165037791
CH,2017,0.1946131681764589
CH,2018,0.2267987745006184
CH,2019,0.0458127825799755
CH,2020,0.3245002033746028
CH,2022,0.1753877744151678
CH,2024,0.1641404560308262
CZ,2007,0.014655695832426
CZ,2008,0.0119926921768825
CZ,2009,0.0186107052407451
CZ,2010,0.0026199952985559
CZ,2011,0.0437507868927155
CZ,2012,0.0031998145978487
CZ,2013,0.1219452331683551
CZ,2014,0.0873132142034832
CZ,2015,0.028318152095958
CZ,2017,0.0408690886280899
CZ,2019,0.045527121294902
CZ,2020,0.0947543391624952
DE,2005,0.0878792542125577
DE,2007,0.1413806817895991
DE,2008,0.0524490151055588
DE,2009,0.2903551340003047
DE,2010,0.1452185491412984
DE,2011,0.2457884489720885
DE,2012,0.1747458789424501
DE,2014,0.2949984618939083
DE,2015,0.3308464197491756
DE,2017,0.0527917763272808
DE,2018,0.0788065979961082
DE,2019,0.3290940981372771
DE,2020,0.1560208923039654
DK,2005,0.2488823961439819
DK,2006,0.0326359320989992
DK,2007,0.2446779212414889
DK,2008,0.1632631813045692
DK,2009,0.3582282385089558
DK,2010,0.7043353774349371
DK,2011,0.4877573629566281
DK,2012,0.5671774933282641
DK,2013,0.2436146117706703
DK,2014,0.8242275369891996
DK,2015,0.0326359320989992
DK,2016,0.2371834994939169
DK,2017,1.4077590907016475
DK,2018,0.2183214969890142
DK,2019,0.6017276203859087
DK,2020,0.7957470748790992
DK,2022,0.0790258932371311
DK,2023,0.0531995850183199
DK,2024,0.0480126855150311
EE,2005,0.0501932399201056
EE,2008,0.008361128280262
EE,2009,0.18845482554755
EE,2010,0.0585283746752129
EE,2011,0.1460823716751083
EE,2013,0.1022712164120679
EE,2015,0.168249886509465
EE,2016,0.2067813464331396
EE,2018,0.054798393567123
EE,2019,0.0422243749256835
EE,2020,0.1907342786233188
EE,2022,0.0143710054079963
EE,2023,0.0586965094436392
EE,2024,0.0182647035608457
