node,total_energy_demand
AT,0.0015803720240864
BE,0.0020866787653655
BG,9.01294076222018e-05
HR,0.0001542725752881
CY,3.493236641182736e-05
CZ,0.0003088511426194
DK,0.0012273676829711
EE,5.238825810851284e-05
FI,0.0064966705406742
FR,0.0089592961619251
DE,0.0904690814743663
EL,0.0001903889663915
HU,0.0002416317939411
IS,1.9780564163816965e-05
IE,0.0009405628392052
IT,0.4667199831802592
LV,4.67758673788309e-05
LI,9.855975573715708e-06
LT,8.687269279593705e-05
LU,0.0006625030885911
MT,0.0003463940061607
NL,0.0093811614170192
NO,0.0001069021500631
PL,0.0007824774845162
PT,0.0093623035760715
RO,0.0002392779713556
SK,0.0001627931955581
SI,0.0303992194292567
ES,0.341219516425826
SE,0.0002970554025872
CH,0.0013356807247709
UK,0.0110493060379165
