time,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.0007318373958064,0.0004154567127289,0.0162677124078222,0.0004385251389273,0.0009055605711394,0.011394215176856,0.00854482800878,0.0006712140707888,0.0047167099569746,0.0097387748681846,0.004823412780396,0.0045092724857032,0.0079293378086572,0.0059911101107522,0.0052006219544717,1.501029045200002e-05,1.783776648402291e-06,0.0071062203174086,7.126689208537269e-07,0.0125784134030511,2.700858596137733e-07,0.0064035902440284,0.0005453519333079,2.126997795715541e-05,2.223916031452801e-05,0.0692280406298036,0.0102359809168793,0.0121081749564509,0.0014682883282382,0.0003039470987662,0.0043422528577881,0.0007654721264246
1,0.000957728955248,0.0005436930740525,0.0212889629552892,0.000573881883546,0.0011850741499148,0.0149111945627981,0.0111823053160668,0.0008783934169638,0.0061725865953097,0.0127447801019024,0.0063122246954983,0.0059011207290142,0.0103768356998559,0.0078403476783579,0.006805864608227,1.9643420621765155e-05,2.3343635562481688e-06,0.0092996518070169,9.326438699608183e-07,0.0164609116672795,3.534515312245309e-07,0.0083801454112516,0.0007136822200154,2.783524575784648e-05,2.9103579423070595e-05,0.090596216326426,0.0133954555556139,0.0158455277325961,0.0019214954779086,0.0003977645020876,0.0056825482227912,0.0010017455026389
2,0.0006252210044812,0.0003549316620594,0.0138977805049466,0.0003746394068156,0.000773635637029,0.0097342697967744,0.0072999903822644,0.0005734294775932,0.0040295647011813,0.0083199992790651,0.0041207227191,0.0038523473781823,0.0067741667452459,0.0051183062014401,0.0044429788651599,1.2823543764953951e-05,1.523910412715685e-06,0.006070963618932,6.088450537126395e-07,0.0107459502721492,2.307388955682033e-07,0.0054706949215755,0.0004659033352112,1.817130015474453e-05,1.899928895454372e-05,0.0591426802577301,0.0087447707747285,0.0103442176528356,0.0012543834309499,0.0002596671220802,0.0037096596990182,0.0006539557209401
3,0.0002226583667207,0.0001264009104064,0.0049493812365482,0.0001334193794401,0.0002755128924703,0.0034666407536444,0.0025997270148353,0.0002042139819285,0.0014350386319876,0.0029629801899118,0.0014675025051426,0.0013719266773176,0.0024124667798743,0.0018227693743831,0.0015822667671126,4.5668160375484e-06,5.427063407851974e-07,0.0021620368383724,2.16826441008905e-07,0.0038269279491732,8.217245623217631e-08,0.0019482646733475,0.0001659209702239,6.47129892413878e-06,6.766168470275269e-06,0.0210623323517443,0.0031142529826939,0.0036838599328498,0.0004467203820329,9.24745919908026e-05,0.0013211116769159,0.0002328915882361
4,0.0001318539352963,7.485214998918647e-05,0.0029309268855785,7.900835025004486e-05,0.000163153352969,0.0020528769359026,0.0015395075543342,0.0001209315309205,0.0008498018453858,0.0017546189887174,0.0008690263169091,0.0008124281786781,0.0014286157011881,0.0010794084169832,0.000936987471008,2.704379247874836e-06,3.2138009362371245e-07,0.0012803159818047,1.2840038281240385e-07,0.002266231975136,4.86609233991606e-08,0.0011537242815668,9.825515741634871e-05,3.83217681057077e-06,4.006792795722183e-06,0.0124727017807527,0.0018441997815946,0.0021815098906031,0.0002645390838693,5.476164695039319e-05,0.0007823365280758,0.0001379138491789
5,0.0003753098288812,0.0002130596067587,0.0083426077910942,0.0002248898400027,0.0004644006782701,0.005843321170476,0.0043820634968523,0.0003442202318355,0.0024188810478643,0.0049943579683621,0.0024736016984199,0.0023125004197459,0.0040664202637928,0.0030724345645078,0.0026670467333224,7.697761242154103e-06,9.147782178259668e-07,0.0036442990568691,3.6547961646569225e-07,0.006450616228342,1.3850874297450773e-07,0.0032839676852855,0.000279674066866,1.090793096000664e-05,1.1404958942977364e-05,0.0355023728377865,0.0052493412721993,0.006209462780953,0.000752985628197,0.0001558738789252,0.002226847365759,0.0003925588039474
6,0.0002069099865586,0.0001174607137309,0.0045993169725002,0.0001239827742078,0.0002560261701249,0.0032214490850007,0.0024158511966919,0.0001897701527152,0.0013335399357713,0.0027534118762182,0.0013637076750621,0.0012748918198941,0.002241835671161,0.0016938469113365,0.0014703547876379,4.243810187156159e-06,5.043213211835125e-07,0.0020091183626081,2.014905465060903e-07,0.0035562535654343,7.6360489232441e-08,0.0018104660665217,0.0001541855634012,6.013591104303769e-06,6.287604853376945e-06,0.0195726168658165,0.0028939853115767,0.0034233045917648,0.0004151243431954,8.593396631635575e-05,0.0012276709083023,0.0002164194236276
7,0.0007830070709121,0.0004445052214996,0.0174051420655459,0.0004691865795877,0.000968876876755,0.0121908925426551,0.0091422777640794,0.0007181449957804,0.0050464997674561,0.0104197047424821,0.0051606631946109,0.0048245583803278,0.0084837528218794,0.0064100052910838,0.0055642466302301,1.605980184629672e-05,1.9084973474030986e-06,0.0076030834005949,7.624983465526455e-07,0.0134578892686841,2.889701169177554e-07,0.0068513258123044,0.0005834826456841,2.2757163318015635e-05,2.379411038190517e-05,0.0740684278080632,0.0109516751693271,0.0129547720040943,0.0015709502544366,0.0003251989156074,0.0046458608303146,0.0008189935237132
8,0.001715105816539,0.000973648283901,0.0381243816349326,0.0010277105553537,0.0021222367313961,0.0267030420100199,0.0200253284447634,0.0015730313366731,0.0110538990334327,0.0228234161278159,0.0113039636436042,0.0105677565985361,0.0185828894162273,0.014040533945596,0.0121879764751651,3.517753617085502e-05,4.1803899645084665e-06,0.0166538630983252,1.670183319992705e-06,0.0294782831733173,6.329627748498394e-07,0.0150072064330126,0.0012780656990704,4.9847497710574135e-05,5.211883599957348e-05,0.162240158581865,0.0239886489937793,0.0283762505366338,0.0034410237390819,0.0007123186653228,0.0101763358581437,0.0017939308703713
9,0.0036095879461558,0.0020491266926354,0.0802360455413717,0.0021629054003371,0.0044664300305359,0.0561988523597704,0.0421450288810121,0.0033105799636541,0.0232638828020639,0.0480338454634282,0.0237901653170732,0.0222407541669699,0.0391092916802748,0.0295495132713648,0.025650646478223,7.403415539340221e-05,8.797990818181752e-06,0.0350494896098884,3.5150446821302465e-06,0.0620395864731491,1.3321246890024325e-06,0.0315839587993385,0.0026897993682215,0.0001049083532613,0.0001096885803648,0.3414483906195659,0.050486178413901,0.0597202638498545,0.0072419309008526,0.0014991359969612,0.021416975498172,0.003775482062673
