edge,capex_per_distance_transport
BE-NO,371.0
BE-UK,371.0
DE-NO,371.0
DE-SE,371.0
DE-UK,371.0
DK-NL,371.0
DK-NO,371.0
DK-SE,371.0
DK-UK,371.0
EE-FI,371.0
EL-IT,371.0
FI-EE,371.0
FR-NO,371.0
FR-UK,371.0
IT-EL,371.0
LT-SE,371.0
NL-DK,371.0
NL-NO,371.0
NL-UK,371.0
NO-BE,371.0
NO-DE,371.0
NO-DK,371.0
NO-FR,371.0
NO-NL,371.0
NO-UK,371.0
PL-SE,371.0
SE-DE,371.0
SE-DK,371.0
SE-LT,371.0
SE-PL,371.0
UK-BE,371.0
UK-DE,371.0
UK-DK,371.0
UK-FR,371.0
UK-NL,371.0
UK-NO,371.0
