node,total_energy_demand
AT,0.8629915142968907
BE,0.7169322874901551
BG,0.41784289831823523
CH,0.705672368282607
CY,0.02598573326779805
CZ,1.5628753824408061
DE,8.388158056799773
DK,0.8293724184476633
EE,0.1019710485281368
EL,0.2113202389179621
ES,3.6456977965743493
FI,0.5789697838011568
FR,6.701454519415058
HR,0.1557284914220805
HU,1.0020092318482614
IE,0.49244183576623135
IS,0.04713004846013009
IT,4.738188558083649
LI,0.004588864798916887
LT,0.41001788840246306
LU,0.054186271119664224
LV,0.17788261100171066
MT,0.04952193562532584
NL,2.0317778267174718
NO,0.45707074110081447
PL,7.606993911066201
PT,0.9179084254999629
RO,1.8503813596337442
SE,0.98523306948604
SI,0.3425260138275487
SK,0.7157073735528198
UK,4.416710684677499
