node,demand
AT,0.0115515410958904
BE,3.8818861130136986
BG,0.0502711130136986
CH,0.0115515410958904
CZ,0.002456455479452
DE,0.9533243835616438
DK,0.4011435616438356
EE,0.1662018493150684
EL,1.275034726027397
ES,4.27709470890411
FI,0.2269939212328766
FR,0.6673654109589041
HR,0.0366786986301369
HU,0.0024486472602739
IE,0.157878852739726
IT,1.7748116609589042
LT,0.1109554623287671
LU,5.64041095890411e-05
LV,0.1250499657534246
NL,6.948531061643836
NO,0.8368108561643837
PL,0.1808208390410959
PT,0.4466470890410958
RO,0.0507607705479452
SE,1.5934821575342466
SI,0.0689734417808219
SK,0.0
UK,1.9224005650684928
