year,AT,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
2020,1.0562816855730874,1.0826040629991214,0.9414844754677084,1.0569848430463653,0.9439937741414987,0.9581778281744804,1.0471806590092025,1.0374628354588216,0.958303274817885,0.9765546979031926,1.0288293886911006,1.0280052928665944,1.0482261626085507,0.9565550363893387,0.997651262849961,1.0870402976111482,1.051962772920647,1.0279383233934924,1.067520241940651,0.8738494856894512,1.1663202930500658,0.9222543786224993,0.9944903901501453,1.0780319318595795,1.0316910226304665,0.9372741622996875,1.0223615428737693,0.9720998204245215,1.051567781847745,1.023445809700588,0.9644405408319079,1.0723497670467135
2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022,0.9408673116521964,0.9173004061656009,1.073595392333171,0.9399035969801839,1.0462604657295873,1.0244324789611443,0.9536179939389722,0.9573048287590957,1.0455982997249547,1.020796741548138,0.969291299902814,0.9707777831954391,0.9486939933900047,1.039772383516437,0.9819389417370548,0.9132710013564533,0.9369190420445812,0.9707634378124425,0.9294354410510651,1.1541790007103114,0.8406582441370101,1.0963759519391325,1.0012669191133963,0.920739039512802,0.9574286970328311,1.0496668314775102,0.9758550697508482,1.0138955263097043,0.9408693648819519,0.9734279634957511,1.016871130177767,0.9260356151353218
2023,0.879656117205929,0.8357256610150491,1.1581345348441374,0.8774984834235362,1.0731041882234824,1.0481455405521145,0.9044977392069194,0.9101625853780436,1.085817090200277,1.0271582191395858,0.932737679012618,0.935601959575506,0.8949253470763995,1.0650675428829253,0.9610163490124835,0.8286817388035996,0.8694456959435153,0.9360942896138174,0.8569642472152271,1.329241961405366,0.6966264753104378,1.2059473544304802,0.9950127717894257,0.8426158965771867,0.9097255120874626,1.0971484702100722,0.946349032043929,1.020743311491435,0.8801508898530621,0.9392192214837596,1.030355674749094,0.851476592478305
2024,0.8166175895327344,0.7555359871039808,1.2546515090644221,0.8130254070206371,1.0774769238231834,1.070001219794837,0.8527670929489723,0.858625620964453,1.1202076543979949,1.0180156930599151,0.890302349564444,0.894268140294615,0.8388364423059916,1.073963911359361,0.9376877095715682,0.7473137384398226,0.7986114957246667,0.8958648284839166,0.7830246342088668,1.5240472084398997,0.5688555447188492,1.3293794474092246,0.9807004538782883,0.7660055608913461,0.8566231587643618,1.1403720570141846,0.9113888754976238,1.0198597309653628,0.8183993775094254,0.897402727514124,1.039306339544158,0.7766626865834242
2025,0.7426698604139217,0.6628919547669628,1.3715400990329067,0.736506938480314,1.0663995515850915,1.0809480684332666,0.7808235874754326,0.7893903014418072,1.1609913341251084,1.007694319941169,0.8365113712372086,0.8456707293937391,0.7806067286627844,1.0777780287286567,0.9044433102311062,0.6575961249311458,0.7258124615292473,0.8443562457094658,0.6961445009155636,1.746489489314468,0.4576102197238513,1.4759007588905448,0.957415659939163,0.6912194222736676,0.7981660783751464,1.1716882800356068,0.8702091389848082,1.0072961042830126,0.75620619454337,0.8418888462574826,1.0353979005662541,0.6919135072486914
2026,0.6707663784243241,0.5769728218347963,1.5084108581914524,0.6621222061106703,1.0404953779057882,1.0894687490821353,0.7108478216129681,0.7207870336369556,1.2081426234742692,0.9966513121006044,0.7820879038896189,0.7949412920455768,0.7204429100465345,1.0764814884317417,0.870257871549495,0.5754327760789937,0.6526721399339007,0.7924662734295168,0.6128507263924939,1.9900589698748177,0.362543933487706,1.6428291423607104,0.9281763728286954,0.6185407095594991,0.7347828564923394,1.1966889071950755,0.826908544425883,0.9876079007634018,0.6941802345939166,0.7850727309217806,1.0269213966213508,0.6108672570421748
2027,0.6014800721941744,0.4981937372736897,1.6629541401238388,0.5904935276574345,1.00125542320871,1.0944345390836263,0.6432475835645826,0.6534410044820549,1.2605876406952816,0.9848198793250179,0.7276480726014664,0.7421859685247552,0.658567726339433,1.069742057977667,0.8345881448496215,0.5005288212486074,0.5808340667484644,0.7407199406488892,0.5338924345253803,2.2441938909209913,0.2828037480795854,1.8241570725011458,0.8933248901882429,0.548261797816589,0.6673175028453754,1.214189336134235,0.781777039024637,0.9612940418084885,0.6329289208257227,0.727879532015937,1.0133382013249383,0.5339882090692065
2028,0.5352552898657839,0.42665088181005023,1.8313902990579556,0.5221127513544617,0.9514939636095467,1.0948824853957804,0.5784991277418029,0.5878473963175714,1.3171735607492008,0.9727997532147286,0.673647949476885,0.6880440631042934,0.596196214931582,1.0579475133898304,0.7968117950651304,0.43191703700666106,0.511726810386686,0.6894816411090189,0.45983468619480444,2.4957190418459074,0.21715308643612305,2.0113369359673365,0.8536955751670626,0.48070939251505035,0.5970055966791067,1.2233314308910415,0.7355126070760356,0.9291264356407255,0.5730398149204621,0.6710306903211355,0.9943603530228174,0.4616220461252762
2029,0.472590034417983,0.36243432825215866,2.0074908917520466,0.45753895103902875,0.8939875926980806,1.0898503098413381,0.5170590713617609,0.5246366445296751,1.3751909920656928,0.9600975771628788,0.620421563267272,0.6328897075408024,0.5362672673986096,1.0407128464314663,0.7562274557341055,0.3686997339035024,0.44637107254920877,0.6389806238714779,0.39128984922772464,2.728520807677095,0.1640996697520996,2.1925849194012375,0.8101045257360322,0.4162543617432167,0.5253918535257758,1.223339759022563,0.6885640291863876,0.891946500530983,0.5150634874105109,0.6150232749519475,0.9697288705798889,0.39422035621961815
