node,total_energy_demand
AT,0.0789546529701182
BE,0.1209217911521399
BG,0.0114612890574181
HR,0.0170455555172125
CY,0.0043353349619961
CZ,0.063377622943258
DK,0.067180037809579
EE,0.0055960469775993
FI,0.0575933745140947
FR,0.4670717840539375
DE,0.3241883032740859
EL,0.0222125978262271
HU,0.054248634093086
IS,0.0141061290697527
IE,0.0521293434473825
IT,0.2347798390857564
LV,0.005937686935251
LI,0.0004905949552658
LT,0.0098272791127435
LU,0.015180024849024
MT,0.0032546074511271
NL,0.190011582427636
NO,0.1035400596073216
PL,0.1624111335029851
PT,0.0805924146406333
RO,0.0518038642905494
SK,0.0330466048755565
SI,0.0157581037039222
ES,0.1846260785666675
SE,0.2589082228779676
CH,0.0648886506831037
UK,0.5130556579476883
