node,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AT,1.0,0.9985970781902233,0.9971941563804464,0.9957912345706698,0.9943883127608932,0.9929853909511164,0.9873548953106084,0.9817243996701004,0.9760939040295922,0.9704634083890844,0.964832912748576,0.959202417108068,0.95357192146756,0.947941425827052,0.942310930186544,0.9366804345460358,0.9406910852606408,0.9447017359752458,0.9487123866898508,0.952723037404456,0.9567336881190608,0.960744338833666,0.964754989548271,0.968765640262876,0.972776290977481,0.976786941692086
BE,1.0,1.0039403185438391,1.007880637087678,1.0118209556315172,1.015761274175356,1.019701592719195,1.03368471828785,1.047667843856505,1.06165096942516,1.075634094993815,1.08961722056247,1.1036003461311252,1.11758347169978,1.1315665972684352,1.14554972283709,1.1595328484057452,1.1767261715368769,1.1939194946680085,1.21111281779914,1.2283061409302716,1.2454994640614032,1.2626927871925344,1.279886110323666,1.2970794334547977,1.3142727565859291,1.3314660797170608
BG,1.0,0.9995404851601004,0.9990809703202004,0.9986214554803003,0.9981619406404004,0.9977024258005006,0.988620760698626,0.9795390955967512,0.9704574304948764,0.9613757653930016,0.952294100291127,0.9432124351892524,0.9341307700873775,0.925049104985503,0.9159674398836282,0.9068857747817536,0.9032160363237346,0.8995462978657156,0.8958765594076968,0.892206820949678,0.8885370824916592,0.8848673440336402,0.8811976055756213,0.8775278671176026,0.8738581286595836,0.8701883902015647
CH,1.0,0.9984100198367972,0.9968200396735946,0.995230059510392,0.9936400793471892,0.9920500991839866,0.9987257433097354,1.005401387435484,1.012077031561233,1.0187526756869818,1.0254283198127307,1.0321039639384797,1.0387796080642284,1.0454552521899774,1.052130896315726,1.058806540441475,1.0709289075252406,1.0830512746090062,1.095173641692772,1.1072960087765376,1.1194183758603031,1.1315407429440687,1.1436631100278345,1.1557854771116,1.1679078441953656,1.1800302112791312
CZ,1.0,0.9994968171871376,0.9989936343742748,0.9984904515614124,0.99798726874855,0.9974840859356874,0.9853765956966264,0.9732691054575652,0.961161615218504,0.949054124979443,0.936946634740382,0.9248391445013208,0.9127316542622596,0.9006241640231986,0.8885166737841373,0.8764091835450762,0.8759490386860839,0.8754888938270917,0.8750287489680992,0.8745686041091069,0.8741084592501145,0.8736483143911222,0.8731881695321299,0.8727280246731375,0.8722678798141452,0.8718077349551528
DE,1.0,1.0001280393077112,1.0002560786154222,1.0003841179231334,1.0005121572308446,1.0006401965385558,0.9956921860891192,0.9907441756396828,0.9857961651902462,0.9808481547408096,0.9759001442913732,0.9709521338419368,0.9660041233925004,0.9610561129430636,0.9561081024936272,0.9511600920441908,0.952320573592996,0.9534810551418016,0.9546415366906068,0.9558020182394124,0.9569624997882178,0.9581229813370232,0.9592834628858288,0.960443944434634,0.9616044259834396,0.962764907532245
DK,1.0,1.004021691179985,1.0080433823599702,1.0120650735399552,1.01608676471994,1.0201084558999254,1.023714969560661,1.0273214832213973,1.0309279968821332,1.0345345105428692,1.038141024203605,1.041747537864341,1.0453540515250772,1.0489605651858132,1.052567078846549,1.056173592507285,1.0598529913400945,1.0635323901729037,1.067211789005713,1.070891187838522,1.074570586671331,1.0782499855041403,1.0819293843369495,1.0856087831697587,1.089288182002568,1.0929675808353772
EE,1.0,0.986051670856258,0.9721033417125156,0.9581550125687736,0.9442066834250312,0.9302583542812892,0.907821141276584,0.885383928271879,0.8629467152671738,0.8405095022624688,0.8180722892577637,0.7956350762530586,0.7731978632483535,0.7507606502436485,0.7283234372389433,0.7058862242342382,0.7143103594019761,0.722734494569714,0.7311586297374518,0.7395827649051896,0.7480069000729275,0.7564310352406655,0.7648551704084032,0.7732793055761411,0.781703440743879,0.7901275759116169
EL,1.0,1.00732630732064,1.01465261464128,1.02197892196192,1.02930522928256,1.0366315366032,1.038389910367221,1.0401482841312422,1.0419066578952632,1.043665031659284,1.0454234054233054,1.0471817791873266,1.0489401529513476,1.0506985267153686,1.0524569004793896,1.0542152742434108,1.0565759782078037,1.0589366821721964,1.0612973861365893,1.0636580901009822,1.0660187940653751,1.068379498029768,1.0707402019941608,1.0731009059585537,1.0754616099229464,1.0778223138873393
ES,1.0,1.0049009216380758,1.0098018432761515,1.0147027649142275,1.0196036865523035,1.0245046081903793,1.026168136259347,1.0278316643283143,1.0294951923972822,1.03115872046625,1.0328222485352176,1.034485776604185,1.036149304673153,1.0378128327421206,1.039476360811088,1.0411398888800558,1.0435740797723894,1.046008270664723,1.0484424615570562,1.0508766524493898,1.053310843341723,1.0557450342340566,1.0581792251263902,1.0606134160187235,1.0630476069110573,1.0654817978033906
