node,kerosene
AT,0.4420332191780822
BE,1.5943179223744293
BG,0.1875630136986301
CH,0.4420332191780822
CZ,0.2032091324200913
DE,6.431671689497716
DK,0.4629764840182648
EE,0.0334594748858447
EL,0.5889987442922374
ES,3.360359589041096
FI,0.4132832191780822
FR,4.839227511415525
HR,0.0784800228310502
HU,0.1346256849315068
IE,0.5282480593607306
IT,2.438218378995434
LT,0.0721881278538812
LU,0.7257484018264839
LV,0.0775028538812785
NL,2.950445091324201
NO,0.5369022831050229
PL,0.6260933789954338
PT,0.8084656392694064
RO,0.1126652968036529
SE,0.5376328767123287
SI,0.0132058219178082
SK,0.0384449771689497
UK,17.23354920091324
