node,capacity_existing
BE,37.96466390131231
DE,7.8044
EE,5.834
EL,17.551717506680948
ES,163.19253839423496
FI,6.234
FR,104.07186268559968
HR,5.7992
IT,43.94335112986543
LT,10.718932102620236
NL,39.37392589089984
PL,13.828
PT,16.46701282378631
UK,110.52030391068196
