node,capacity_limit
AT,0.0
BE,0.0
BG,0.0
CH,0.0
CZ,0.0
DE,2.142949339511181
DK,1.0544964514875586
EE,0.0
EL,0.0
ES,0.0
FI,0.0
FR,0.0
HR,0.0
HU,0.0
IE,0.0
IT,2.0350641584445923
LT,0.0
LU,0.0
LV,0.0
NL,7.586779628310148
NO,70.72214717433602
PL,2.014043582911733
PT,0.0
RO,4.756745332312152
SE,0.0
SI,0.0
SK,0.0
UK,22.825910770159823
